index,user_id_maped,program_name,rating,date_,program_genre
759691,26732,Friends      The One The Morning After,2,2017-04-10,Comedy
760174,26732,Friends     The One With The Dirty Girl,3,2017-04-11,Comedy
760670,26732,Heroes  The Hard Part,4,2017-07-17,Drama
761149,26732,Friends     The One Where Ross Can't Flirt,3,2017-04-18,Comedy
761641,26732,Heroes  hades Of Gray,4,2017-07-19,Drama
762135,26732,Heroes  Unexpected,4,2017-07-17,Drama
762627,26732,Friends      The One With The Dollhouse,3,2017-05-15,Comedy
763114,26732,Friends     The One With The Ballroom Dancing,3,2017-04-11,Comedy
763611,26732,Friends      The One Where Rachel Finds Out,3,2017-03-28,Comedy
764093,26732,Friends      The One After Vegas,3,2017-08-26,Comedy
764580,26732,Friends      The One Where Phoebe Runs,3,2017-08-27,Comedy
765067,26732,Friends      The One Without The ki Trip,3,2017-05-15,Comedy
765555,26732,Friends      The One Where Joey Moves Out,3,2017-07-16,Comedy
766040,26732,Friends      The One With Unagi,3,2017-07-22,Comedy
766523,26732,Friends      The One With George tephanopoulos,3,2017-03-28,Comedy
767004,26732,Friends      The One Where Rachel Quits,3,2017-05-14,Comedy
767490,26732,Friends      The One With Mac And C.H.E.E.S.E,3,2017-05-25,Comedy
767978,26732,Community  (T)    Environmental cience,3,2017-04-22,Comedy
768468,26732,Community  (T)    Home Economics,3,2017-04-22,Comedy
768959,26732,Friends      The One That Could Have Been  Part II,3,2017-05-25,Comedy
769453,26732,Scandal  (T)    Guess Who's Coming To Dinner,4,2017-05-15,Drama
769941,26732,Heroes  The econd Coming,3,2017-07-18,Drama
770437,26732,Friends     The One With All The Thanksgivings,3,2017-04-18,Comedy
770930,26732,Sons Of Anarchy     Pilot,1,2017-08-27,Thriller
771417,26732,Friends      The One With A Chick. And A Duck.,3,2017-07-18,Comedy
771911,26732,Friends      The One With Joey's Porsche,3,2017-08-27,Comedy
772394,26732,Friends      The One With The Chicken Pox,3,2017-03-29,Comedy
772872,26732,Friends      The One With The Blackout,3,2017-05-22,Comedy
773360,26732,Friends      The One Where Ross & Rachel Take A Break,3,2017-04-06,Comedy
773845,26732,Friends      The One Where Ross Hugs Rachel,3,2017-05-25,Comedy
774339,26732,Community  (T)    Advanced Criminal Law,3,2017-03-20,Comedy
774834,26732,Friends      The One With The Flashback,3,2017-07-17,Comedy
775323,26732,Friends     The One With The Fake Party,3,2017-04-13,Comedy
775811,26732,Step Brothers,3,2017-03-19,Comedy
776296,26732,Heroes  The econd Coming,1,2017-07-17,Drama
776783,26732,Friends     The One Where No One Proposes,1,2017-07-04,Comedy
777272,26732,Heroes  Better Halves,4,2017-07-15,Drama
777765,26732,Friends     Monica And Chandler's Wedding Pt. II,3,2017-07-13,Comedy
778256,26732,Friends      Friends    Ep6,1,2017-05-22,Comedy
778746,26732,Friends      The One After The uperbowl Part I,3,2017-03-29,Comedy
779239,26732,Friends     The One With The Nap Partners,3,2017-07-13,Comedy
779728,26732,Friends     The One Where Joey peaks French,4,2017-07-11,Comedy
780215,26732,Assassin's Creed,1,2017-03-14,Action
780710,26732,Friends     The One With Chandler In A Box,3,2017-04-11,Comedy
781212,26732,Friends     The One With The Embryos,3,2017-04-13,Comedy
781697,26732,Friends     The One With The Home tudy,3,2017-07-27,Comedy
782187,26732,Friends      The One With The Baby On The Bus,3,2017-03-28,Comedy
782678,26732,Friends      The One With The Hypnosis Tape,3,2017-05-15,Comedy
783178,26732,Friends      The One With The creamer,1,2017-04-11,Comedy
783669,26732,Friends      The One With The Rumor,3,2017-03-26,Comedy
784153,26732,Friends      The One With A Chick. And A Duck.,3,2017-05-14,Comedy
784651,26732,Friends      The One With Two Parties,3,2017-08-28,Comedy
785136,26732,Friends      The One With The Halloween Party,3,2017-03-26,Comedy
785634,26732,Friends     The One After Joey And Rachel Kiss,4,2017-07-09,Comedy
786121,26732,Friends      The One With The Two Parts  Part,3,2017-03-28,Comedy
786604,26732,Friends      The One Where Eddie Won't Go,3,2017-03-29,Comedy
787092,26732,Friends      The One With The Proposal Part I,3,2017-05-25,Comedy
787589,26732,Scandal  (T)    It's Handled,2,2017-05-15,Drama
788086,26732,Friends     The One With Rachel's Other ister,3,2017-07-03,Comedy
788579,26732,Friends     The One Where Rachel's ister Babysits,4,2017-07-09,Comedy
789077,26732,Friends      The One Where Ross Dates A tudent,3,2017-05-25,Comedy
789579,26732,Friends      The One With A Chick. And A Duck.,3,2017-04-10,Comedy
790071,26732,Friends      The One The Morning After,3,2017-05-15,Comedy
790570,26732,Friends      The One With Ross's Thing,3,2017-05-15,Comedy
791057,26732,Empire tate,1,2017-03-15,Action
791545,26732,Friends      The One With The Baby hower,3,2017-03-27,Comedy
792034,26732,Friends      The One With All The Jealousy,3,2017-04-06,Comedy
792528,26732,Friends      Rachel Has A Baby - Part II,1,2017-07-03,Comedy
793024,26732,Friends     The One With The Donor,3,2017-07-04,Comedy
793504,26732,Friends     The One Where No One Proposes,3,2017-06-24,Comedy
793984,26732,Friends      The One With The Princess Leia Fantasy,3,2017-05-14,Comedy
794960,26732,Friends      The One With The Blackout,3,2017-03-28,Comedy
795451,26732,Friends     The One Where Rosita Dies,3,2017-07-13,Comedy
796427,26732,Friends     The One With Ross's Wedding Part II,1,2017-07-18,Comedy
796910,26732,Friends      The One Where Ross Finds Out,3,2017-03-28,Comedy
